id,movie,rank
3292264069,Revenge of the Sith,5
3292264069,A New Hope,1
3292264069,The Empire Strikes Back,4
3292264069,Return of the Jedi,2
3292257520,The Phantom Menace,4
3292257520,Attack of the Clones,5
3292257520,Revenge of the Sith,6
3292257520,A New Hope,3
3292257520,The Empire Strikes Back,2
3292257520,Return of the Jedi,1
3292249492,The Phantom Menace,5
3292249492,Attack of the Clones,6
3292249492,Revenge of the Sith,2
3292249492,A New Hope,3
3292249492,The Empire Strikes Back,4
3292249492,Return of the Jedi,1
3292222729,The Phantom Menace,6
3292222729,Attack of the Clones,5
3292222729,Revenge of the Sith,4
3292222729,A New Hope,2
3292222729,The Empire Strikes Back,1
3292222729,Return of the Jedi,3
3292221635,The Phantom Menace,5
3292221635,Attack of the Clones,6
3292221635,Revenge of the Sith,4
3292221635,A New Hope,2
3292221635,The Empire Strikes Back,1
3292221635,Return of the Jedi,3
3292218251,The Phantom Menace,6
3292218251,Attack of the Clones,5
3292218251,Revenge of the Sith,4
3292218251,A New Hope,2
3292218251,The Empire Strikes Back,1
3292218251,Return of the Jedi,3
3292214307,The Phantom Menace,5
3292214307,Attack of the Clones,6
3292214307,Revenge of the Sith,4
3292214307,A New Hope,3
3292214307,The Empire Strikes Back,2
3292214307,Return of the Jedi,1
3292210606,The Phantom Menace,6
3292210606,Attack of the Clones,5
3292210606,Revenge of the Sith,4
3292210606,A New Hope,2
3292210606,The Empire Strikes Back,1
3292210606,Return of the Jedi,3
3292189580,The Phantom Menace,5
3292189580,Attack of the Clones,4
3292189580,Revenge of the Sith,6
3292189580,A New Hope,3
3292189580,The Empire Strikes Back,1
3292189580,Return of the Jedi,2
3292187343,The Phantom Menace,6
3292187343,Attack of the Clones,5
3292187343,Revenge of the Sith,4
3292187343,A New Hope,1
3292187343,The Empire Strikes Back,2
3292187343,Return of the Jedi,3
3292176862,The Phantom Menace,6
3292176862,Attack of the Clones,4
3292176862,Revenge of the Sith,5
3292176862,A New Hope,3
3292176862,The Empire Strikes Back,1
3292176862,Return of the Jedi,2
3292173922,The Phantom Menace,4
3292173922,Attack of the Clones,5
3292173922,Revenge of the Sith,1
3292173922,A New Hope,6
